county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Sutter,2020-04-19,16,16,0,0,0,?,?,?,?,?,?,?,?
Tehama,2020-04-19,0,0,5,5,0,?,?,?,?,?,?,?,?
Trinity,2020-04-19,10,0,0,0,0,?,?,?,?,?,?,?,?
Tulare,2020-04-19,56,0,0,0,0,?,?,?,?,?,?,?,?
Tuolumne,2020-04-19,0,0,0,0,0,?,?,?,?,?,?,?,?
Ventura,2020-04-19,398,275,0,0,0,?,?,?,?,?,?,?,?
Yolo,2020-04-19,246,206,0,0,0,?,?,?,?,?,?,?,?
Yuba,2020-04-19,35,18,0,0,0,?,?,?,?,?,?,?,?
Alameda,2020-04-20,403,328,91,91,0,?,?,?,?,?,?,?,?
Alpine,2020-04-20,0,0,0,0,0,?,?,?,?,?,?,?,?
Amador,2020-04-20,0,0,0,0,0,?,?,?,?,?,?,?,?
Butte,2020-04-20,82,82,0,0,0,?,?,?,?,?,?,?,?
Calaveras,2020-04-20,20,20,0,0,0,?,?,?,?,?,?,?,?
Colusa,2020-04-20,0,0,0,0,0,?,?,?,?,?,?,?,?
'Contra Costa',2020-04-20,340,3,0,5,0,?,?,?,?,?,?,?,?
'Del Norte',2020-04-20,0,0,0,0,0,?,?,?,?,?,?,?,?
'El Dorado',2020-04-20,0,0,0,0,0,?,?,?,?,?,?,?,?
Fresno,2020-04-20,305,250,28,28,0,?,?,?,?,?,?,?,?
Glenn,2020-04-20,0,0,0,0,0,?,?,?,?,?,?,?,?
Humboldt,2020-04-20,44,11,15,0,0,?,?,?,?,?,?,?,?
Imperial,2020-04-20,36,0,0,0,0,?,?,?,?,?,?,?,?
Inyo,2020-04-20,10,1,0,0,0,?,?,?,?,?,?,?,?
Kern,2020-04-20,2,2,15,15,0,?,?,?,?,?,?,?,?
Kings,2020-04-20,0,0,0,0,0,?,?,?,?,?,?,?,?
Lake,2020-04-20,10,10,0,0,0,?,?,?,?,?,?,?,?
Lassen,2020-04-20,1,1,0,0,0,?,?,?,?,?,?,?,?
'Los Angeles',2020-04-20,3172,888,658,647,0,?,?,?,?,?,?,?,?
Madera,2020-04-20,0,0,0,0,0,?,?,?,?,?,?,?,?
Marin,2020-04-20,112,73,44,0,0,?,?,?,?,?,?,?,?
Mariposa,2020-04-20,44,13,0,0,0,?,?,?,?,?,?,?,?
Mendocino,2020-04-20,134,95,0,0,0,?,?,?,?,?,?,?,?
Merced,2020-04-20,10,0,0,0,0,?,?,?,?,?,?,?,?
Mono,2020-04-20,48,1,0,0,0,?,?,?,?,?,?,?,?
Modoc,2020-04-20,10,0,0,0,0,?,?,?,?,?,?,?,?
Monterey,2020-04-20,0,0,108,15,8,?,?,?,?,?,?,?,?
Napa,2020-04-20,104,48,18,0,0,?,?,?,?,?,?,?,?
Nevada,2020-04-20,27,0,0,0,0,?,?,?,?,?,?,?,?
Orange,2020-04-20,276,31,78,78,0,?,?,?,?,?,?,?,?
Placer,2020-04-20,15,15,0,0,0,?,?,?,?,?,?,?,?
Plumas,2020-04-20,0,0,0,0,0,?,?,?,?,?,?,?,?
Riverside,2020-04-20,422,303,15,15,0,?,?,?,?,?,?,?,?
Sacramento,2020-04-20,316,63,63,63,0,?,?,?,?,?,?,?,?
'San Benito',2020-04-20,67,41,3,0,0,?,?,?,?,?,?,?,?
'San Bernardino',2020-04-20,50,37,20,0,20,?,?,?,?,?,?,?,?
'San Diego',2020-04-20,2029,409,45,44,0,?,?,?,?,?,?,?,?
'San Francisco',2020-04-20,1273,718,0,0,0,?,?,?,?,?,?,?,?
'San Joaquin',2020-04-20,0,0,8,0,0,?,?,?,?,?,?,?,?
'San Luis Obispo',2020-04-20,154,4,14,14,0,?,?,?,?,?,?,?,?
'San Mateo',2020-04-20,94,64,0,0,0,?,?,?,?,?,?,?,?
'Santa Barbara',2020-04-20,85,9,0,0,0,?,?,?,?,?,?,?,?
'Santa Clara',2020-04-20,453,234,105,105,0,?,?,?,?,?,?,?,?
'Santa Cruz',2020-04-20,27,20,35,0,0,?,?,?,?,?,?,?,?
Shasta,2020-04-20,20,0,0,0,0,?,?,?,?,?,?,?,?
Sierra,2020-04-20,0,0,0,0,0,?,?,?,?,?,?,?,?
Siskiyou,2020-04-20,0,0,6,6,0,?,?,?,?,?,?,?,?
Solano,2020-04-20,0,0,0,0,0,?,?,?,?,?,?,?,?
Sonoma,2020-04-20,45,45,0,0,0,?,?,?,?,?,?,?,?
Stanislaus,2020-04-20,121,0,0,0,0,?,?,?,?,?,?,?,?
Sutter,2020-04-20,16,16,5,0,0,?,?,?,?,?,?,?,?
Tehama,2020-04-20,0,0,5,5,0,?,?,?,?,?,?,?,?
Trinity,2020-04-20,10,0,0,0,0,?,?,?,?,?,?,?,?
Tulare,2020-04-20,56,0,0,0,0,?,?,?,?,?,?,?,?
Tuolumne,2020-04-20,0,0,0,0,0,?,?,?,?,?,?,?,?
Ventura,2020-04-20,398,275,0,0,0,?,?,?,?,?,?,?,?
Yolo,2020-04-20,246,206,0,0,0,?,?,?,?,?,?,?,?
Yuba,2020-04-20,35,18,5,0,0,?,?,?,?,?,?,?,?
Alameda,2020-04-21,403,346,91,91,0,?,?,?,?,?,?,?,?
'Alpine ',2020-04-21,0,0,0,0,0,?,?,?,?,?,?,?,?
Amador,2020-04-21,0,0,0,0,0,?,?,?,?,?,?,?,?
Butte,2020-04-21,82,82,0,0,0,?,?,?,?,?,?,?,?
Calaveras,2020-04-21,20,20,0,0,0,?,?,?,?,?,?,?,?
Colusa,2020-04-21,0,0,0,0,0,?,?,?,?,?,?,?,?
'Contra Costa',2020-04-21,340,3,0,0,0,?,?,?,?,?,?,?,?
'Del Norte',2020-04-21,0,0,0,0,0,?,?,?,?,?,?,?,?
'El Dorado',2020-04-21,0,0,0,0,0,?,?,?,?,?,?,?,?
Fresno,2020-04-21,305,250,28,28,0,?,?,?,?,?,?,?,?
'Glenn ',2020-04-21,0,0,0,0,0,?,?,?,?,?,?,?,?
Humboldt,2020-04-21,44,11,15,0,0,?,?,?,?,?,?,?,?
Imperial,2020-04-21,36,0,37,10,0,?,?,?,?,?,?,?,?
Inyo,2020-04-21,10,1,0,0,0,?,?,?,?,?,?,?,?
Kern,2020-04-21,2,2,15,15,0,?,?,?,?,?,?,?,?
Kings,2020-04-21,0,0,0,0,0,?,?,?,?,?,?,?,?
'Lake ',2020-04-21,10,10,0,0,0,?,?,?,?,?,?,?,?
Lassen,2020-04-21,1,1,0,0,0,?,?,?,?,?,?,?,?
'Los Angeles',2020-04-21,3292,939,658,647,0,?,?,?,?,?,?,?,?
Madera,2020-04-21,0,0,0,0,0,?,?,?,?,?,?,?,?
'Marin ',2020-04-21,112,73,44,0,0,?,?,?,?,?,?,?,?
Mariposa,2020-04-21,44,13,0,0,0,?,?,?,?,?,?,?,?
Mendocino,2020-04-21,140,101,0,0,0,?,?,?,?,?,?,?,?
Merced,2020-04-21,10,0,0,0,0,?,?,?,?,?,?,?,?
Modoc,2020-04-21,10,0,0,0,0,?,?,?,?,?,?,?,?
'Mono ',2020-04-21,48,1,0,0,0,?,?,?,?,?,?,?,?
Monterey,2020-04-21,0,0,108,15,8,?,?,?,?,?,?,?,?
Napa,2020-04-21,104,48,18,0,0,?,?,?,?,?,?,?,?
Nevada,2020-04-21,27,0,0,0,0,?,?,?,?,?,?,?,?
Orange,2020-04-21,276,31,78,78,0,?,?,?,?,?,?,?,?
Placer,2020-04-21,32,32,12,0,0,?,?,?,?,?,?,?,?
Plumas,2020-04-21,0,0,0,0,0,?,?,?,?,?,?,?,?
Riverside,2020-04-21,422,303,15,15,0,?,?,?,?,?,?,?,?
Sacramento,2020-04-21,316,63,63,63,0,?,?,?,?,?,?,?,?
'San Benito',2020-04-21,67,41,3,3,0,?,?,?,?,?,?,?,?
'San Bernardino',2020-04-21,50,37,20,0,20,?,?,?,?,?,?,?,?
'San Diego',2020-04-21,2029,409,44,44,0,?,?,?,?,?,?,?,?
'San Francisco',2020-04-21,1273,737,0,0,0,?,?,?,?,?,?,?,?
'San Joaquin',2020-04-21,0,0,8,8,0,?,?,?,?,?,?,?,?
'San Luis Obispo',2020-04-21,154,4,14,14,0,?,?,?,?,?,?,?,?
'San Mateo',2020-04-21,94,64,0,0,0,?,?,?,?,?,?,?,?
'Santa Barbara',2020-04-21,85,9,0,0,0,?,?,?,?,?,?,?,?
'Santa Clara',2020-04-21,575,226,105,105,0,?,?,?,?,?,?,?,?
'Santa Cruz',2020-04-21,27,20,35,0,0,?,?,?,?,?,?,?,?
'Shasta ',2020-04-21,20,0,0,0,0,?,?,?,?,?,?,?,?
Sierra,2020-04-21,0,0,0,0,0,?,?,?,?,?,?,?,?
Siskiyou,2020-04-21,0,0,6,6,0,?,?,?,?,?,?,?,?
'Solano ',2020-04-21,0,0,0,0,0,?,?,?,?,?,?,?,?
Sonoma,2020-04-21,45,45,0,0,0,?,?,?,?,?,?,?,?
Stanislaus,2020-04-21,121,0,0,0,0,?,?,?,?,?,?,?,?
Sutter,2020-04-21,16,16,5,0,0,?,?,?,?,?,?,?,?
Tehama,2020-04-21,0,0,5,5,0,?,?,?,?,?,?,?,?
Trinity,2020-04-21,10,0,0,0,0,?,?,?,?,?,?,?,?
Tulare,2020-04-21,56,0,0,0,0,?,?,?,?,?,?,?,?
Tuolumne,2020-04-21,0,0,0,0,0,?,?,?,?,?,?,?,?
Ventura,2020-04-21,398,275,0,0,0,?,?,?,?,?,?,?,?
Yolo,2020-04-21,246,206,0,0,0,?,?,?,?,?,?,?,?
Yuba,2020-04-21,35,18,5,0,0,?,?,?,?,?,?,?,?
Alameda,2020-04-22,403,346,91,91,0,?,?,?,?,?,?,?,?
Alpine,2020-04-22,0,0,0,0,0,?,?,?,?,?,?,?,?
Amador,2020-04-22,0,0,0,0,0,?,?,?,?,?,?,?,?
Butte,2020-04-22,82,82,0,0,0,?,?,?,?,?,?,?,?
Calaveras,2020-04-22,20,20,0,0,0,?,?,?,?,?,?,?,?
Colusa,2020-04-22,0,0,0,0,0,?,?,?,?,?,?,?,?
'Contra Costa',2020-04-22,340,3,0,0,0,?,?,?,?,?,?,?,?
'Del Norte',2020-04-22,0,0,0,0,0,?,?,?,?,?,?,?,?
'El Dorado',2020-04-22,0,0,0,0,0,?,?,?,?,?,?,?,?
Fresno,2020-04-22,305,250,28,28,0,?,?,?,?,?,?,?,?
Glenn,2020-04-22,0,0,0,0,0,?,?,?,?,?,?,?,?
Humboldt,2020-04-22,44,11,15,0,0,?,?,?,?,?,?,?,?
Imperial,2020-04-22,36,0,37,10,0,?,?,?,?,?,?,?,?
Inyo,2020-04-22,10,1,0,0,0,?,?,?,?,?,?,?,?
Kern,2020-04-22,2,2,15,15,0,?,?,?,?,?,?,?,?
Kings,2020-04-22,0,0,0,0,0,?,?,?,?,?,?,?,?
Lake,2020-04-22,10,10,0,0,0,?,?,?,?,?,?,?,?
Lassen,2020-04-22,1,1,0,0,0,?,?,?,?,?,?,?,?
'Los Angeles',2020-04-22,3292,1054,658,647,0,?,?,?,?,?,?,?,?
Madera,2020-04-22,0,0,0,0,0,?,?,?,?,?,?,?,?
Marin,2020-04-22,132,80,44,0,0,?,?,?,?,?,?,?,?
Mariposa,2020-04-22,44,12,0,0,0,?,?,?,?,?,?,?,?
Mendocino,2020-04-22,143,104,0,0,0,?,?,?,?,?,?,?,?
Merced,2020-04-22,10,0,0,0,0,?,?,?,?,?,?,?,?
Modoc,2020-04-22,10,1,0,0,0,?,?,?,?,?,?,?,?
Mono,2020-04-22,48,0,0,0,0,?,?,?,?,?,?,?,?
Monterey,2020-04-22,142,1,108,15,8,?,?,?,?,?,?,?,?
Napa,2020-04-22,104,48,18,0,0,?,?,?,?,?,?,?,?
Nevada,2020-04-22,27,0,0,0,0,?,?,?,?,?,?,?,?
Orange,2020-04-22,276,31,78,78,0,?,?,?,?,?,?,?,?
Placer,2020-04-22,32,32,12,0,0,?,?,?,?,?,?,?,?
Plumas,2020-04-22,0,0,0,0,0,?,?,?,?,?,?,?,?
Riverside,2020-04-22,422,303,15,15,0,?,?,?,?,?,?,?,?
Sacramento,2020-04-22,316,63,63,63,0,?,?,?,?,?,?,?,?
'San Benito',2020-04-22,67,61,3,3,0,?,?,?,?,?,?,?,?
'San Bernardino',2020-04-22,50,37,20,0,20,?,?,?,?,?,?,?,?
'San Diego',2020-04-22,2029,409,44,44,0,?,?,?,?,?,?,?,?
'San Francisco',2020-04-22,1328,729,0,0,0,?,?,?,?,?,?,?,?
'San Joaquin',2020-04-22,0,0,8,8,0,?,?,?,?,?,?,?,?
'San Luis Obispo',2020-04-22,154,4,14,14,0,?,?,?,?,?,?,?,?
'San Mateo',2020-04-22,134,85,0,0,0,?,?,?,?,?,?,?,?
'Santa Barbara',2020-04-22,85,9,0,0,0,?,?,?,?,?,?,?,?
'Santa Clara',2020-04-22,575,230,105,105,0,?,?,?,?,?,?,?,?
'Santa Cruz',2020-04-22,27,20,35,0,0,?,?,?,?,?,?,?,?
Shasta,2020-04-22,20,0,0,0,0,?,?,?,?,?,?,?,?
Sierra,2020-04-22,0,0,0,0,0,?,?,?,?,?,?,?,?
Siskiyou,2020-04-22,0,0,6,6,0,?,?,?,?,?,?,?,?
Solano,2020-04-22,0,0,0,0,0,?,?,?,?,?,?,?,?
Sonoma,2020-04-22,45,45,0,0,0,?,?,?,?,?,?,?,?
Stanislaus,2020-04-22,121,19,0,0,0,?,?,?,?,?,?,?,?
Sutter,2020-04-22,16,16,5,0,0,?,?,?,?,?,?,?,?
Tehama,2020-04-22,0,0,5,5,0,?,?,?,?,?,?,?,?
Trinity,2020-04-22,10,0,0,0,0,?,?,?,?,?,?,?,?
Tulare,2020-04-22,56,0,0,0,0,?,?,?,?,?,?,?,?
Tuolumne,2020-04-22,0,0,0,0,0,?,?,?,?,?,?,?,?
Ventura,2020-04-22,398,275,0,0,0,?,?,?,?,?,?,?,?
Yolo,2020-04-22,246,206,0,0,0,?,?,?,?,?,?,?,?
Yuba,2020-04-22,41,18,5,0,0,?,?,?,?,?,?,?,?
'Alameda ',2020-04-23,403,346,91,91,0,?,?,?,?,?,?,?,?
'Alpine ',2020-04-23,0,0,0,0,0,?,?,?,?,?,?,?,?
'Amador ',2020-04-23,0,0,0,0,0,?,?,?,?,?,?,?,?
'Butte ',2020-04-23,87,87,0,0,0,?,?,?,?,?,?,?,?
'Calaveras ',2020-04-23,75,20,0,0,0,?,?,?,?,?,?,?,?
'Colusa ',2020-04-23,0,0,0,0,0,?,?,?,?,?,?,?,?
'Contra Costa ',2020-04-23,340,129,0,0,0,?,?,?,?,?,?,?,?
'Del Norte ',2020-04-23,0,0,0,0,0,?,?,?,?,?,?,?,?
'El Dorado ',2020-04-23,26,0,0,0,0,?,?,?,?,?,?,?,?
'Fresno ',2020-04-23,305,250,28,28,0,?,?,?,?,?,?,?,?
'Glenn ',2020-04-23,9,9,0,0,0,?,?,?,?,?,?,?,?
Humboldt,2020-04-23,44,11,15,0,0,?,?,?,?,?,?,?,?
'Imperial ',2020-04-23,36,0,37,10,0,?,?,?,?,?,?,?,?
'Inyo ',2020-04-23,10,1,0,0,0,?,?,?,?,?,?,?,?
'Kern ',2020-04-23,2,2,15,15,0,?,?,?,?,?,?,?,?
'Kings ',2020-04-23,0,0,0,0,0,?,?,?,?,?,?,?,?
'Lake ',2020-04-23,15,10,0,0,0,?,?,?,?,?,?,?,?
'Lassen ',2020-04-23,1,1,0,0,0,?,?,?,?,?,?,?,?
'Los Angeles ',2020-04-23,3292,1054,658,649,0,?,?,?,?,?,?,?,?
'Madera ',2020-04-23,0,0,0,0,0,?,?,?,?,?,?,?,?
'Marin ',2020-04-23,132,96,44,0,0,?,?,?,?,?,?,?,?
'Mariposa ',2020-04-23,44,12,0,0,0,?,?,?,?,?,?,?,?
'Mendocino ',2020-04-23,146,107,0,0,0,?,?,?,?,?,?,?,?
'Merced ',2020-04-23,10,0,0,0,0,?,?,?,?,?,?,?,?
'Modoc ',2020-04-23,10,1,0,0,0,?,?,?,?,?,?,?,?
'Mono ',2020-04-23,48,0,0,0,0,?,?,?,?,?,?,?,?
'Monterey ',2020-04-23,142,1,108,15,8,?,?,?,?,?,?,?,?
'Napa ',2020-04-23,104,48,18,0,0,?,?,?,?,?,?,?,?
'Nevada ',2020-04-23,27,0,0,0,0,?,?,?,?,?,?,?,?
'Orange ',2020-04-23,275,81,78,78,0,?,?,?,?,?,?,?,?
'Placer ',2020-04-23,32,32,12,0,0,?,?,?,?,?,?,?,?
'Plumas ',2020-04-23,0,0,0,0,0,?,?,?,?,?,?,?,?
'Riverside ',2020-04-23,422,303,15,15,0,?,?,?,?,?,?,?,?
'Sacramento ',2020-04-23,316,63,63,63,0,?,?,?,?,?,?,?,?
'San Benito ',2020-04-23,67,40,3,3,0,?,?,?,?,?,?,?,?
'San Bernardino ',2020-04-23,50,37,20,0,20,?,?,?,?,?,?,?,?
'San Diego ',2020-04-23,2029,409,44,44,0,?,?,?,?,?,?,?,?
'San Francisco',2020-04-23,1328,809,91,59,0,?,?,?,?,?,?,?,?
'San Joaquin ',2020-04-23,0,0,8,8,0,?,?,?,?,?,?,?,?
'San Luis Obispo ',2020-04-23,154,4,14,14,0,?,?,?,?,?,?,?,?
'San Mateo ',2020-04-23,136,92,0,0,0,?,?,?,?,?,?,?,?
'Santa Barbara ',2020-04-23,98,34,0,0,0,?,?,?,?,?,?,?,?
'Santa Clara ',2020-04-23,615,243,105,105,0,?,?,?,?,?,?,?,?
'Santa Cruz ',2020-04-23,27,19,35,0,0,?,?,?,?,?,?,?,?
'Shasta ',2020-04-23,20,0,0,0,0,?,?,?,?,?,?,?,?
'Sierra ',2020-04-23,0,0,0,0,0,?,?,?,?,?,?,?,?
'Siskiyou ',2020-04-23,0,0,6,6,0,?,?,?,?,?,?,?,?
'Solano ',2020-04-23,0,0,0,0,0,?,?,?,?,?,?,?,?
'Sonoma ',2020-04-23,45,45,0,0,0,?,?,?,?,?,?,?,?
'Stanislaus ',2020-04-23,121,19,0,0,0,?,?,?,?,?,?,?,?
'Sutter ',2020-04-23,16,16,5,0,0,?,?,?,?,?,?,?,?
'Tehama ',2020-04-23,0,0,5,5,0,?,?,?,?,?,?,?,?
'Trinity ',2020-04-23,10,0,0,0,0,?,?,?,?,?,?,?,?
'Tulare ',2020-04-23,56,0,0,0,0,?,?,?,?,?,?,?,?
Tuolumne,2020-04-23,0,0,0,0,0,?,?,?,?,?,?,?,?
'Ventura ',2020-04-23,388,258,0,0,0,?,?,?,?,?,?,?,?
'Yolo ',2020-04-23,246,212,0,0,0,?,?,?,?,?,?,?,?
'Yuba ',2020-04-23,30,17,5,0,0,?,?,?,?,?,?,?,?
Alameda,2020-04-24,385,344,91,91,0,?,?,?,?,?,?,?,?
'Alpine ',2020-04-24,0,0,0,0,0,?,?,?,?,?,?,?,?
Amador,2020-04-24,0,0,0,0,0,?,?,?,?,?,?,?,?
Butte,2020-04-24,89,89,0,0,0,?,?,?,?,?,?,?,?
Calaveras,2020-04-24,75,20,0,0,0,?,?,?,?,?,?,?,?
Colusa,2020-04-24,0,0,0,0,0,?,?,?,?,?,?,?,?
'Contra Costa',2020-04-24,340,129,0,0,0,?,?,?,?,?,?,?,?
'Del Norte',2020-04-24,10,0,0,0,0,?,?,?,?,?,?,?,?
'El Dorado',2020-04-24,26,0,0,0,0,?,?,?,?,?,?,?,?
Fresno,2020-04-24,305,250,28,28,0,?,?,?,?,?,?,?,?
'Glenn ',2020-04-24,6,6,0,0,0,?,?,?,?,?,?,?,?
Humboldt,2020-04-24,44,11,15,0,0,?,?,?,?,?,?,?,?
Imperial,2020-04-24,36,0,37,10,0,?,?,?,?,?,?,?,?
Inyo,2020-04-24,10,1,0,0,0,?,?,?,?,?,?,?,?
Kern,2020-04-24,2,2,15,15,0,?,?,?,?,?,?,?,?
Kings,2020-04-24,0,0,0,0,0,?,?,?,?,?,?,?,?
'Lake ',2020-04-24,15,10,0,0,0,?,?,?,?,?,?,?,?
Lassen,2020-04-24,1,1,0,0,0,?,?,?,?,?,?,?,?
'Los Angeles',2020-04-24,3292,1054,658,649,0,?,?,?,?,?,?,?,?
Madera,2020-04-24,20,20,0,0,0,?,?,?,?,?,?,?,?
'Marin ',2020-04-24,132,96,44,0,0,?,?,?,?,?,?,?,?
Mariposa,2020-04-24,44,13,0,0,0,?,?,?,?,?,?,?,?
Mendocino,2020-04-24,149,110,0,0,0,?,?,?,?,?,?,?,?
Merced,2020-04-24,85,34,0,0,0,?,?,?,?,?,?,?,?
Modoc,2020-04-24,10,1,0,0,0,?,?,?,?,?,?,?,?
'Mono ',2020-04-24,48,0,0,0,0,?,?,?,?,?,?,?,?
Monterey,2020-04-24,142,1,108,15,8,?,?,?,?,?,?,?,?
Napa,2020-04-24,104,52,18,0,0,?,?,?,?,?,?,?,?
Nevada,2020-04-24,50,16,0,0,0,?,?,?,?,?,?,?,?
Orange,2020-04-24,275,86,78,78,0,?,?,?,?,?,?,?,?
Placer,2020-04-24,32,32,12,0,0,?,?,?,?,?,?,?,?
Plumas,2020-04-24,0,0,0,0,0,?,?,?,?,?,?,?,?
Riverside,2020-04-24,422,303,15,15,0,?,?,?,?,?,?,?,?
Sacramento,2020-04-24,276,105,63,63,0,?,?,?,?,?,?,?,?
'San Benito',2020-04-24,67,43,3,3,0,?,?,?,?,?,?,?,?
'San Bernardino',2020-04-24,50,37,20,0,20,?,?,?,?,?,?,?,?
'San Diego',2020-04-24,2029,409,44,44,0,?,?,?,?,?,?,?,?
'San Francisco',2020-04-24,1434,864,91,91,0,?,?,?,?,?,?,?,?
'San Joaquin',2020-04-24,0,0,8,8,0,?,?,?,?,?,?,?,?
'San Luis Obispo',2020-04-24,155,0,14,14,0,?,?,?,?,?,?,?,?
'San Mateo',2020-04-24,139,100,0,0,0,?,?,?,?,?,?,?,?
'Santa Barbara',2020-04-24,98,37,0,0,0,?,?,?,?,?,?,?,?
'Santa Clara',2020-04-24,660,243,105,105,0,?,?,?,?,?,?,?,?
'Santa Cruz',2020-04-24,27,20,35,0,0,?,?,?,?,?,?,?,?
'Shasta ',2020-04-24,20,0,0,0,0,?,?,?,?,?,?,?,?
Sierra,2020-04-24,0,0,0,0,0,?,?,?,?,?,?,?,?
Siskiyou,2020-04-24,0,0,6,6,0,?,?,?,?,?,?,?,?
'Solano ',2020-04-24,0,0,0,0,0,?,?,?,?,?,?,?,?
Sonoma,2020-04-24,45,45,0,0,0,?,?,?,?,?,?,?,?
Stanislaus,2020-04-24,123,52,0,0,0,?,?,?,?,?,?,?,?
Sutter,2020-04-24,16,16,5,2,0,?,?,?,?,?,?,?,?
Tehama,2020-04-24,0,0,5,5,0,?,?,?,?,?,?,?,?
Trinity,2020-04-24,10,0,0,0,0,?,?,?,?,?,?,?,?
Tulare,2020-04-24,56,0,0,0,0,?,?,?,?,?,?,?,?
Tuolumne,2020-04-24,0,0,0,0,0,?,?,?,?,?,?,?,?
Ventura,2020-04-24,388,266,0,0,0,?,?,?,?,?,?,?,?
Yolo,2020-04-24,246,212,0,0,0,?,?,?,?,?,?,?,?
Yuba,2020-04-24,30,17,5,4,0,?,?,?,?,?,?,?,?
'Alameda County',2020-04-25,385,344,91,91,0,?,?,?,?,?,?,?,?
'Alpine County',2020-04-25,0,0,0,0,0,?,?,?,?,?,?,?,?
'Amador County',2020-04-25,0,0,0,0,0,?,?,?,?,?,?,?,?
'Butte County',2020-04-25,89,89,0,0,0,?,?,?,?,?,?,?,?
'Calaveras County',2020-04-25,73,25,0,0,0,?,?,?,?,?,?,?,?
'Colusa County',2020-04-25,0,0,0,0,0,?,?,?,?,?,?,?,?
'Contra Costa County',2020-04-25,340,129,0,0,0,?,?,?,?,?,?,?,?
'Del Norte County',2020-04-25,10,0,0,0,0,?,?,?,?,?,?,?,?
'El Dorado County',2020-04-25,26,0,0,0,0,?,?,?,?,?,?,?,?
'Fresno County',2020-04-25,305,250,28,28,0,?,?,?,?,?,?,?,?
'Glenn County',2020-04-25,7,7,0,0,0,?,?,?,?,?,?,?,?
'Humboldt County',2020-04-25,44,11,15,0,0,?,?,?,?,?,?,?,?
'Imperial County',2020-04-25,36,0,37,10,0,?,?,?,?,?,?,?,?
'Inyo County',2020-04-25,10,1,0,0,0,?,?,?,?,?,?,?,?
'Kern County',2020-04-25,2,2,15,15,0,?,?,?,?,?,?,?,?
'Kings County',2020-04-25,0,0,0,0,0,?,?,?,?,?,?,?,?
'Lake County',2020-04-25,15,10,0,0,0,?,?,?,?,?,?,?,?
'Lassen County',2020-04-25,1,1,0,0,0,?,?,?,?,?,?,?,?
'Los Angeles County',2020-04-25,3292,1054,658,649,0,?,?,?,?,?,?,?,?
'Madera County ',2020-04-25,20,20,0,0,0,?,?,?,?,?,?,?,?
'Marin County ',2020-04-25,132,96,44,0,0,?,?,?,?,?,?,?,?
'Mariposa County',2020-04-25,44,13,0,0,0,?,?,?,?,?,?,?,?
'Mendocino County',2020-04-25,149,110,0,0,0,?,?,?,?,?,?,?,?
'Merced County',2020-04-25,85,34,0,0,0,?,?,?,?,?,?,?,?
'Modoc County',2020-04-25,10,1,0,0,0,?,?,?,?,?,?,?,?
'Mono County',2020-04-25,48,0,0,0,0,?,?,?,?,?,?,?,?
'Monterey County',2020-04-25,142,1,108,15,8,?,?,?,?,?,?,?,?
'Napa County ',2020-04-25,104,52,18,0,0,?,?,?,?,?,?,?,?
'Nevada County ',2020-04-25,50,16,0,0,0,?,?,?,?,?,?,?,?
'Orange County',2020-04-25,275,86,78,78,0,?,?,?,?,?,?,?,?
'Placer County',2020-04-25,73,26,12,0,0,?,?,?,?,?,?,?,?
'Plumas County',2020-04-25,0,0,0,0,0,?,?,?,?,?,?,?,?
'Riverside County',2020-04-25,422,303,15,15,0,?,?,?,?,?,?,?,?
'Sacramento County',2020-04-25,276,121,63,63,0,?,?,?,?,?,?,?,?
'San Benito County',2020-04-25,67,40,3,3,0,?,?,?,?,?,?,?,?
'San Bernardino County',2020-04-25,50,37,20,0,20,?,?,?,?,?,?,?,?
'San Diego County',2020-04-25,2029,409,44,44,0,?,?,?,?,?,?,?,?
'San Francisco',2020-04-25,1434,873,91,91,0,?,?,?,?,?,?,?,?
'San Joaquin County',2020-04-25,0,0,8,8,0,?,?,?,?,?,?,?,?
'San Luis Obispo County',2020-04-25,155,1,14,14,0,?,?,?,?,?,?,?,?
'San Mateo County',2020-04-25,140,100,0,0,0,?,?,?,?,?,?,?,?
'Santa Barbara County',2020-04-25,98,37,0,0,0,?,?,?,?,?,?,?,?
'Santa Clara County',2020-04-25,660,243,105,105,0,?,?,?,?,?,?,?,?
'Santa Cruz County',2020-04-25,27,20,35,0,0,?,?,?,?,?,?,?,?
'Shasta County',2020-04-25,20,0,0,0,0,?,?,?,?,?,?,?,?
'Sierra County',2020-04-25,0,0,0,0,0,?,?,?,?,?,?,?,?
'Siskiyou County',2020-04-25,0,0,6,6,0,?,?,?,?,?,?,?,?
'Solano County',2020-04-25,0,0,0,0,0,?,?,?,?,?,?,?,?
'Sonoma County',2020-04-25,45,45,0,0,0,?,?,?,?,?,?,?,?
'Stanislaus County',2020-04-25,123,52,0,0,0,?,?,?,?,?,?,?,?
'Sutter County',2020-04-25,16,16,5,5,0,?,?,?,?,?,?,?,?
'Tehama County',2020-04-25,0,0,5,5,0,?,?,?,?,?,?,?,?
'Trinity County',2020-04-25,10,0,0,0,0,?,?,?,?,?,?,?,?
'Tulare County',2020-04-25,56,0,0,0,0,?,?,?,?,?,?,?,?
